1	634
2	2148
3	2739
4	3452
5	3572
6	4110
7	4148
8	4157
9	4306
10	4445
11	4546
12	4719
13	4891
14	5001
15	5086
16	5286
17	5339
18	5374
19	5465
20	5630
21	5923
22	6175
23	6036
24	6387
25	6458
26	6640
27	6802
28	6988
29	7101
30	7436
31	7509
32	8004
33	8159
34	8341
35	8554
36	8834
37	9362
38	9820
39	9857
40	10356
41	11072
42	11202
43	11675
44	12101
45	12688
46	12655
47	13289
48	13627
49	14156
50	14450
51	15031
52	15508
53	15918
54	16454
55	16616
56	17179
57	17854
58	18314
59	18041
60	18484
61	18991
62	19650
63	20183
64	20274
65	20686
66	20981
67	21413
68	22250
69	22768
70	22997
71	23548
72	24429
73	24743
74	25659
75	26454
76	27012
77	28190
78	28395
79	29831
80	30390
81	31938
82	32983
83	34375
84	36120
85	38078
86	40407
87	42484
88	44516
89	47152
90	50438
91	53696
92	57079
93	61915
94	66684
95	72206
96	77853
97	84445
98	91763
99	99162
100	107991
101	117174
102	127755
103	137452
104	148770
105	161551
106	174008
107	187342
108	200230
109	212517
110	227242
111	240769
112	254274
113	267093
114	278972
115	289591
116	299416
117	308953
118	316942
119	323248
120	328143
121	331711
122	334178
123	334076
124	332514
125	329344
126	325132
127	320527
128	312175
129	304198
130	293978
131	284338
132	273002
133	260895
134	248624
135	236317
136	224587
137	210843
138	198456
139	186580
140	174163
141	162536
142	151263
143	140317
144	129978
145	120042
146	110745
147	102659
148	93933
149	87065
150	79918
151	72950
152	67234
153	61159
154	56681
155	51734
156	47496
157	43654
158	40143
159	36991
160	34087
161	31208
162	28547
163	26512
164	24480
165	22369
166	21046
167	19506
168	18254
169	17100
170	15881
171	15244
172	13928
173	13430
174	12751
175	11826
176	11314
177	10559
178	10152
179	9693
180	9350
181	9000
182	8754
183	8222
184	8094
185	7773
186	7795
187	7330
188	7208
189	7092
190	6711
191	6547
192	6527
193	6311
194	6300
195	6228
196	5955
197	5963
198	5960
199	5751
