QUAL	0	91.0	70	40	30	0
QUAL	0	91.3	8	5	3	0
QUAL	0	92.0	27	20	7	0
QUAL	0	92.4	1	0	1	0
QUAL	0	93.0	44	32	12	0
QUAL	0	93.2	2	0	2	0
QUAL	0	93.3	2	2	0	0
QUAL	0	93.8	1	0	1	0
QUAL	0	94.0	72	51	21	0
QUAL	0	94.3	11	7	4	0
QUAL	0	95.0	17	14	3	0
QUAL	0	95.5	1	1	0	0
QUAL	0	96.0	46	37	9	0
QUAL	0	96.2	1	1	0	0
QUAL	0	97.0	71	46	25	0
QUAL	0	97.3	5	3	2	0
QUAL	0	98.0	23	16	7	0
QUAL	0	98.4	1	0	1	0
QUAL	0	99.0	35	29	6	0
QUAL	0	99.2	3	3	0	0
QUAL	0	99.4	2	1	1	0
QUAL	0	100.0	48	27	21	0
QUAL	0	100.2	1	1	0	0
QUAL	0	100.3	10	6	4	0
QUAL	0	101.0	15	12	3	0
QUAL	0	101.4	2	1	1	0
QUAL	0	102.0	45	28	17	0
QUAL	0	102.2	3	1	2	0
QUAL	0	102.4	1	1	0	0
QUAL	0	103.0	76	46	30	0
QUAL	0	103.1	1	0	1	0
QUAL	0	103.2	1	1	0	0
QUAL	0	103.3	8	5	3	0
QUAL	0	104.0	26	17	9	0
QUAL	0	105.0	56	40	16	0
QUAL	0	105.2	1	1	0	0
QUAL	0	105.3	2	1	1	0
QUAL	0	105.5	3	1	2	0
QUAL	0	106.0	74	49	25	0
QUAL	0	106.4	1	1	0	0
QUAL	0	107.0	17	11	6	0
QUAL	0	107.2	1	0	1	0
QUAL	0	107.5	1	0	1	0
QUAL	0	108.0	65	46	19	0
QUAL	0	108.3	1	1	0	0
QUAL	0	109.0	73	48	25	0
QUAL	0	109.4	2	0	2	0
QUAL	0	110.0	16	9	7	0
QUAL	0	111.0	50	36	14	0
QUAL	0	111.2	1	1	0	0
QUAL	0	111.3	1	1	0	0
QUAL	0	111.4	2	1	1	0
QUAL	0	112.0	78	52	26	0
QUAL	0	112.2	1	1	0	0
QUAL	0	112.3	2	1	1	0
QUAL	0	112.4	1	0	1	0
QUAL	0	112.8	1	1	0	0
QUAL	0	113.0	20	14	6	0
QUAL	0	113.2	2	1	1	0
QUAL	0	113.4	2	2	0	0
QUAL	0	114.0	49	33	16	0
QUAL	0	114.4	1	1	0	0
QUAL	0	115.0	84	56	28	0
QUAL	0	115.1	2	2	0	0
QUAL	0	115.2	1	1	0	0
QUAL	0	115.4	2	1	1	0
QUAL	0	115.5	1	0	1	0
QUAL	0	116.0	22	14	8	0
